season,home_team,away_team,home_win
20252026,EDM,SEA,0
20252026,EDM,WPG,1
20252026,EDM,VAN,1
20252026,SEA,EDM,1
20252026,VAN,EDM,1
20252026,EDM,VAN,1
20252026,NYR,EDM,0
20252026,NYI,EDM,1
20252026,NJD,EDM,1
20252026,DET,EDM,1
20252026,EDM,MTL,1
20252026,SEA,EDM,1
20252026,VAN,EDM,1
20252026,EDM,UTA,1
20252026,EDM,NYR,0
20252026,EDM,CHI,1
20252026,STL,EDM,1
20252026,DAL,EDM,1
20252026,EDM,CBJ,1
20252026,CBJ,EDM,1
20252026,CAR,EDM,0
20252026,WSH,EDM,1
20252026,TBL,EDM,1
20252026,FLA,EDM,0
20252026,EDM,DAL,0
20252026,SEA,EDM,0
20252026,EDM,MIN,0
20252026,EDM,SEA,1
20252026,EDM,WPG,1
20252026,EDM,DET,1
20252026,MTL,EDM,1
20252026,PIT,EDM,0
20252026,BOS,EDM,0
20252026,MIN,EDM,1
20252026,EDM,VGK,1
20252026,WPG,EDM,0
20252026,EDM,BOS,0
20252026,EDM,NSH,1
20252026,WPG,EDM,0
20252026,EDM,LAK,0
20252026,CHI,EDM,0
20252026,NSH,EDM,1
20252026,EDM,NYI,0
20252026,VAN,EDM,0
20252026,EDM,STL,1
20252026,EDM,NJD,0
20252026,EDM,PIT,0
20252026,EDM,WSH,1
20252026,EDM,ANA,1
20252026,EDM,SJS,1
20252026,EDM,MIN,0
20252026,ANA,EDM,1
20252026,LAK,EDM,0
20252026,SJS,EDM,1
20252026,EDM,CAR,0
20252026,VGK,EDM,0
20252026,DAL,EDM,1
20252026,STL,EDM,1
20252026,EDM,NSH,1
20252026,EDM,SJS,1
20252026,EDM,FLA,0
20252026,EDM,TBL,0
20252026,UTA,EDM,0
20252026,VGK,EDM,0
20252026,EDM,ANA,1
20252026,EDM,SEA,1
20252026,EDM,CHI,1
20252026,EDM,VGK,0
20252026,UTA,EDM,1
20252026,SJS,EDM,0
20252026,LAK,EDM,1
20252026,EDM,VAN,1
20252026,EDM,ANA,1
20252026,EDM,ANA,0
20252026,ANA,EDM,1
20252026,ANA,EDM,1
20252026,EDM,ANA,1
20252026,ANA,EDM,1
20252026,SEA,VAN,1
20252026,VAN,SEA,1
20252026,VAN,STL,0
20252026,DAL,VAN,0
20252026,CHI,VAN,0
20252026,WSH,VAN,0
20252026,PIT,VAN,1
20252026,NSH,VAN,1
20252026,VAN,MTL,0
20252026,VAN,NYR,0
20252026,STL,VAN,0
20252026,MIN,VAN,1
20252026,NSH,VAN,0
20252026,VAN,CHI,0
20252026,VAN,CBJ,1
20252026,VAN,WPG,0
20252026,CAR,VAN,1
20252026,TBL,VAN,0
20252026,FLA,VAN,1
20252026,VAN,DAL,0
20252026,ANA,VAN,0
20252026,SJS,VAN,1
20252026,LAK,VAN,1
20252026,VAN,UTA,0
20252026,VAN,MIN,1
20252026,VAN,DET,0
20252026,NJD,VAN,0
20252026,NYR,VAN,0
20252026,NYI,VAN,0
20252026,BOS,VAN,0
20252026,VAN,SJS,0
20252026,SEA,VAN,0
20252026,VAN,SEA,0
20252026,VAN,BOS,0
20252026,DET,VAN,1
20252026,MTL,VAN,1
20252026,CBJ,VAN,1
20252026,VAN,NYI,0
20252026,VAN,WSH,1
20252026,VAN,NJD,0
20252026,VAN,PIT,0
20252026,VAN,SJS,0
20252026,VAN,ANA,1
20252026,UTA,VAN,1
20252026,VGK,VAN,1
20252026,VAN,WPG,0
20252026,SEA,VAN,1
20252026,VAN,DAL,0
20252026,VAN,CAR,0
20252026,CHI,VAN,0
20252026,WPG,VAN,1
20252026,VAN,NSH,1
20252026,VAN,SEA,0
20252026,VAN,FLA,1
20252026,VAN,TBL,0
20252026,VAN,STL,0
20252026,VAN,ANA,0
20252026,VAN,LAK,0
20252026,VGK,VAN,1
20252026,MIN,VAN,1
20252026,VAN,UTA,0
20252026,VAN,VGK,0
20252026,LAK,VAN,1
20252026,SJS,VAN,0
20252026,ANA,VAN,0
20252026,VAN,LAK,1
20252026,MTL,PIT,1
20252026,CBJ,PIT,1
20252026,PIT,DET,1
20252026,PIT,CBJ,1
20252026,DET,PIT,0
20252026,NYR,PIT,0
20252026,PIT,NYI,1
20252026,PIT,NYR,0
20252026,ANA,PIT,1
20252026,LAK,PIT,0
20252026,SJS,PIT,0
20252026,FLA,PIT,0
20252026,PIT,CBJ,0
20252026,PIT,STL,1
20252026,MIN,PIT,0
20252026,WPG,PIT,1
20252026,PIT,WSH,1
20252026,NJD,PIT,1
20252026,PIT,LAK,0
20252026,NSH,PIT,1
20252026,PIT,NSH,1
20252026,PIT,MIN,0
20252026,PIT,SEA,0
20252026,CBJ,PIT,0
20252026,TBL,PIT,0
20252026,DAL,PIT,1
20252026,PIT,ANA,0
20252026,PIT,MTL,0
20252026,PIT,SJS,0
20252026,PIT,UTA,0
20252026,MTL,PIT,1
20252026,PIT,MTL,1
20252026,CHI,PIT,0
20252026,PIT,CAR,1
20252026,PIT,DET,1
20252026,DET,PIT,0
20252026,CBJ,PIT,0
20252026,PIT,NJD,1
20252026,BOS,PIT,1
20252026,PIT,TBL,0
